DateRepConf,CaseCode
2020-03-18,1
2020-03-24,2
2020-03-25,2
2020-03-30,2
2020-04-01,1
2020-04-05,1
2020-04-06,1
2020-04-07,1
2020-04-08,1
2020-04-20,1
2020-04-24,1
2020-05-16,1
2020-05-23,1
2020-05-24,1
2020-05-27,1
2020-05-28,2
2020-05-29,9
2020-05-31,2
2020-06-02,1
2020-06-06,1
2020-06-07,2
2020-06-08,1
2020-06-09,1
2020-06-10,4
2020-06-12,7
2020-06-13,14
2020-06-15,4
2020-06-16,5
2020-06-17,1
2020-06-19,5
2020-06-20,5
2020-06-21,1
2020-06-22,7
2020-06-23,14
2020-06-25,1
2020-06-26,11
2020-06-29,1
2020-06-30,2
2020-07-02,1
2020-07-03,9
2020-07-04,9
2020-07-05,3
2020-07-06,5
2020-07-07,31
2020-07-08,18
2020-07-09,3
2020-07-10,9
2020-07-11,12
2020-07-12,20
2020-07-13,2
2020-07-14,2
2020-07-15,14
2020-07-16,14
2020-07-17,61
2020-07-18,6
2020-07-19,3
2020-07-20,8
2020-07-21,2
2020-07-22,8
2020-07-23,4
2020-07-24,4
2020-07-25,2
2020-07-26,16
2020-07-28,15
2020-07-29,5
2020-07-30,15
2020-07-31,10
2020-08-01,1
2020-08-02,2
2020-08-03,3
2020-08-04,30
2020-08-05,14
2020-08-06,5
2020-08-07,10
2020-08-08,22
2020-08-09,1
2020-08-10,8
2020-08-11,6
2020-08-12,6
2020-08-13,10
2020-08-14,16
2020-08-15,12
2020-08-16,7
2020-08-17,16
2020-08-18,3
2020-08-19,3
2020-08-21,8
2020-08-22,3
2020-08-23,2
2020-08-24,15
2020-08-25,8
2020-08-26,30
2020-08-27,35
2020-08-28,26
2020-08-29,5
2020-08-30,4
2020-08-31,32
2020-09-01,9
2020-09-02,10
2020-09-03,6
2020-09-04,13
2020-09-05,20
2020-09-06,19
2020-09-07,19
2020-09-08,25
2020-09-09,33
2020-09-10,19
2020-09-11,28
2020-09-12,11
2020-09-13,12
2020-09-14,23
2020-09-15,23
2020-09-16,35
2020-09-17,43
2020-09-18,83
2020-09-19,36
2020-09-20,22
2020-09-21,13
2020-09-22,54
2020-09-23,12
2020-09-24,25
2020-09-25,35
2020-09-26,54
2020-09-27,44
2020-09-28,24
2020-09-29,20
2020-09-30,43
2020-10-01,36
2020-10-02,35
2020-10-03,19
2020-10-04,17
2020-10-05,10
2020-10-06,10
2020-10-07,27
2020-10-08,62
2020-10-09,23
2020-10-10,43
2020-10-11,39
2020-10-12,41
2020-10-13,18
2020-10-14,35
2020-10-15,37
2020-10-16,31
2020-10-17,50
2020-10-18,26
2020-10-19,30
2020-10-20,25
2020-10-21,25
2020-10-22,33
2020-10-23,46
2020-10-24,46
2020-10-25,34
2020-10-26,45
2020-10-27,36
2020-10-28,35
2020-10-29,37
2020-10-30,55
2020-10-31,30
2020-11-01,49
2020-11-02,29
2020-11-03,28
2020-11-04,30
2020-11-05,25
2020-11-06,30
2020-11-07,58
2020-11-08,95
2020-11-09,98
2020-11-10,22
2020-11-11,20
2020-11-12,7
2020-11-13,28
2020-11-14,16
2020-11-15,19
2020-11-16,12
2020-11-17,20
2020-11-18,23
2020-11-19,24
2020-11-20,37
2020-11-21,21
2020-11-22,11
2020-11-23,21
2020-11-24,6
2020-11-25,10
2020-11-26,19
2020-11-27,29
2020-11-28,14
2020-11-29,27
2020-11-30,19
2020-12-01,10
2020-12-02,21
2020-12-03,26
2020-12-04,15
2020-12-05,28
2020-12-06,15
2020-12-07,18
2020-12-08,13
2020-12-09,12
2020-12-10,7
2020-12-11,7
2020-12-12,5
2020-12-14,5
2020-12-15,6
2020-12-16,4
2020-12-17,13
2020-12-18,21
2020-12-19,8
2020-12-20,15
2020-12-21,15
