DateRepConf,CaseCode
1/30/2020,1
2/3/2020,1
2/5/2020,1
3/6/2020,2
3/7/2020,1
3/8/2020,4
3/9/2020,14
3/10/2020,9
3/11/2020,16
3/12/2020,3
3/13/2020,12
3/14/2020,47
3/15/2020,28
3/16/2020,2
3/17/2020,45
3/18/2020,15
3/19/2020,15
3/20/2020,13
3/21/2020,77
3/22/2020,73
3/23/2020,80
3/24/2020,90
3/25/2020,84
3/26/2020,70
3/27/2020,102
3/28/2020,265
3/29/2020,341
3/30/2020,126
3/31/2020,536
4/1/2020,227
4/2/2020,322
4/3/2020,385
4/4/2020,75
4/5/2020,151
4/6/2020,412
4/7/2020,104
4/8/2020,106
4/9/2020,205
4/10/2020,119
4/11/2020,232
4/12/2020,220
4/13/2020,284
4/14/2020,289
4/15/2020,229
4/16/2020,206
4/17/2020,217
4/18/2020,207
4/19/2020,171
4/20/2020,197
4/21/2020,136
4/22/2020,108
4/23/2020,270
4/24/2020,211
4/25/2020,102
4/26/2020,282
4/27/2020,197
4/28/2020,180
4/29/2020,252
4/30/2020,271
5/1/2020,281
5/2/2020,154
5/3/2020,295
5/4/2020,260
5/5/2020,199
5/6/2020,319
5/7/2020,334
5/8/2020,117
5/9/2020,146
5/10/2020,180
5/11/2020,286
5/12/2020,262
5/13/2020,265
5/14/2020,255
5/15/2020,212
5/16/2020,214
5/17/2020,207
5/18/2020,204
5/19/2020,223
5/20/2020,273
5/21/2020,210
5/22/2020,163
5/23/2020,179
5/24/2020,256
5/25/2020,282
5/26/2020,349
5/27/2020,374
5/28/2020,532
5/29/2020,1038
5/30/2020,577
5/31/2020,851
6/1/2020,547
6/2/2020,356
6/3/2020,744
6/4/2020,630
6/5/2020,240
6/6/2020,701
6/7/2020,547
6/8/2020,571
6/9/2020,506
6/10/2020,721
6/11/2020,440
6/12/2020,606
6/13/2020,599
6/14/2020,530
6/15/2020,482
6/16/2020,361
6/17/2020,454
6/18/2020,559
6/19/2020,648
6/20/2020,936
6/21/2020,649
6/22/2020,623
6/23/2020,1132
6/24/2020,466
6/25/2020,765
6/26/2020,994
6/27/2020,732
6/28/2020,641
6/29/2020,966
6/30/2020,1041
7/1/2020,842
7/2/2020,252
7/3/2020,1474
7/4/2020,1361
7/5/2020,2316
7/6/2020,1978
7/7/2020,1470
7/8/2020,2304
7/9/2020,1332
7/10/2020,1167
7/11/2020,1317
7/12/2020,2055
7/13/2020,810
7/14/2020,601
7/15/2020,1264
7/16/2020,2398
7/17/2020,1661
7/18/2020,2223
7/19/2020,2166
7/20/2020,1487
7/21/2020,1903
7/22/2020,1440
7/23/2020,2099
7/24/2020,1998
7/25/2020,1961
7/26/2020,2032
7/27/2020,1629
7/28/2020,1605
7/29/2020,1813
7/30/2020,3845
