DateRepConf,CaseCode,
3/8/2020,2,
3/9/2020,11,
3/10/2020,7,
3/11/2020,13,
3/12/2020,2,
3/13/2020,9,
3/14/2020,36,
3/15/2020,22,
3/16/2020,2,2.717079059
3/17/2020,38,2.562116191
3/18/2020,11,1.946332985
3/19/2020,13,1.729093266
3/20/2020,12,1.505695512
3/21/2020,55,1.517959307
3/22/2020,55,1.673134144
3/23/2020,65,2.043623461
3/24/2020,68,2.050144222
3/25/2020,63,2.095342858
3/26/2020,47,1.956698332
3/27/2020,77,1.95128384
3/28/2020,186,2.176855089
3/29/2020,256,2.535744521
3/30/2020,69,2.140870015
3/31/2020,403,2.511437486
4/1/2020,157,2.246783235
4/2/2020,233,2.126649673
4/3/2020,287,2.022665005
4/4/2020,49,1.553599207
4/5/2020,104,1.191894014
4/6/2020,307,1.26152253
4/7/2020,58,0.921375136
4/8/2020,74,0.825374997
4/9/2020,155,0.762258708
4/10/2020,70,0.618582921
4/11/2020,158,0.736950225
4/12/2020,146,0.828244396
4/13/2020,192,0.785078571
4/14/2020,193,0.959984563
4/15/2020,174,1.103269643
4/16/2020,112,1.08319325
4/17/2020,137,1.144634334
4/18/2020,140,1.103689525
4/19/2020,119,1.049709411
4/20/2020,134,0.969977725
4/21/2020,73,0.842955707
4/22/2020,71,0.746235275
4/23/2020,98,0.7501409
4/24/2020,149,0.797614473
4/25/2020,51,0.748375813
4/26/2020,153,0.828523325
4/27/2020,122,0.859050499
4/28/2020,123,0.962156858
4/29/2020,191,1.151274797
4/30/2020,149,1.235777116
5/1/2020,124,1.184266949
5/2/2020,49,1.136624817
5/3/2020,121,1.053047176
5/4/2020,121,1.020023556
5/5/2020,170,1.056376735
5/6/2020,171,1.025817072
5/7/2020,93,0.955487251
5/8/2020,74,0.894079671
5/9/2020,101,0.955771182
5/10/2020,85,0.9294209
5/11/2020,169,0.999708072
5/12/2020,154,0.994069824
5/13/2020,147,0.972034406
5/14/2020,173,1.068388305
5/15/2020,119,1.123550719
5/16/2020,122,1.140531138
5/17/2020,151,1.194461504
5/18/2020,117,1.103435418
5/19/2020,161,1.075184673
5/20/2020,149,1.048356642
5/21/2020,93,0.946712997
5/22/2020,91,0.908535832
5/23/2020,110,0.899019538
5/24/2020,186,0.949647144
5/25/2020,161,1.016326546
5/26/2020,243,1.120822117
5/27/2020,256,1.23910875
5/28/2020,324,1.464315672
5/29/2020,584,1.909939649
5/30/2020,383,2.025516855
5/31/2020,274,1.850895186
6/1/2020,213,1.618065685
6/2/2020,163,1.351342807
6/3/2020,257,1.207877967
6/4/2020,265,1.089105987
6/5/2020,48,0.779119209
6/6/2020,290,0.719113408
6/7/2020,172,0.684236251
6/8/2020,255,0.74394553
6/9/2020,222,0.830587462
6/10/2020,240,0.878070586
6/11/2020,182,0.87148939
6/12/2020,290,1.055620702
6/13/2020,287,1.079204981
6/14/2020,262,1.142536396
6/15/2020,217,1.101992922
6/16/2020,191,1.056185189
6/17/2020,197,1.005168082
6/18/2020,192,0.996070187
6/19/2020,287,0.988780328
6/20/2020,301,0.997493678
6/21/2020,269,1.003877815
6/22/2020,181,0.983509062
6/23/2020,476,1.15707091
6/24/2020,247,1.185982211
6/25/2020,468,1.329690902
6/26/2020,391,1.343037622
6/27/2020,323,1.28504434
6/28/2020,366,1.256826803
6/29/2020,549,1.363649597
6/30/2020,347,1.234166942
7/1/2020,349,1.208868874
7/2/2020,123,1.005405879
7/3/2020,666,1.074576274
7/4/2020,635,1.175898983
7/5/2020,1174,1.471065308
7/6/2020,1014,1.601150672
7/7/2020,866,1.675444878
7/8/2020,1352,1.830735826
7/9/2020,625,1.770453294
7/10/2020,688,1.560935401
7/11/2020,779,1.404914686
7/12/2020,1127,1.254544092
7/13/2020,523,1.070498697
7/14/2020,346,0.925858988
7/15/2020,603,0.778633521
7/16/2020,1641,0.952053101
7/17/2020,968,1.030137927
7/18/2020,1582,1.198864471
7/19/2020,1470,1.261582892
7/20/2020,1155,1.336527111
7/21/2020,1332,1.436028719
7/22/2020,754,1.374180112
7/23/2020,1282,1.226089201
7/24/2020,1144,1.165893156
7/25/2020,990,1.030522579
7/26/2020,1138,0.954493525
7/27/2020,1032,0.925334381
7/28/2020,783,0.861689555
7/29/2020,793,0.879207926
7/30/2020,1862,0.973802308
7/31/2020,2258,1.143611283
8/1/2020,2603,1.369095976
8/2/2020,2656,1.540490124
8/3/2020,1532,1.516424145
8/4/2020,2957,1.631418509
8/5/2020,2359,1.639129015
8/6/2020,1994,1.489258591
8/7/2020,1802,1.301149311
8/8/2020,2685,1.192527588
8/9/2020,1650,1.045787268
8/10/2020,4150,1.178007575
8/11/2020,1451,1.053617554
8/12/2020,2519,1.040630137
8/13/2020,2387,1.04623192
8/14/2020,3779,1.157759893
8/15/2020,2413,1.128963081
8/16/2020,2016,1.127076511
8/17/2020,1890,0.964359475
8/18/2020,2907,1.024951662
8/19/2020,2995,1.043945264
8/20/2020,2520,1.049854666
8/21/2020,2662,0.980959653
8/22/2020,2778,0.99332425
8/23/2020,1001,0.934154907
8/24/2020,2469,0.968994338
8/25/2020,1565,0.901619627
8/26/2020,3080,0.915992423
8/27/2020,1559,0.874546289
8/28/2020,2070,0.856710815
8/29/2020,1979,0.829350083
8/30/2020,2179,0.927750027
8/31/2020,1873,0.920917098
9/1/2020,1800,0.960316373
9/2/2020,1137,0.846492489
9/3/2020,780,0.804811454
9/4/2020,1769,0.802602075
