DateRepConf,CaseCode
2020-03-08,2
2020-03-09,11
2020-03-10,7
2020-03-11,13
2020-03-12,2
2020-03-13,9
2020-03-14,36
2020-03-15,22
2020-03-16,2
2020-03-17,38
2020-03-18,11
2020-03-19,13
2020-03-20,12
2020-03-21,55
2020-03-22,55
2020-03-23,65
2020-03-24,68
2020-03-25,63
2020-03-26,47
2020-03-27,77
2020-03-28,186
2020-03-29,256
2020-03-30,69
2020-03-31,403
2020-04-01,157
2020-04-02,233
2020-04-03,287
2020-04-04,49
2020-04-05,104
2020-04-06,307
2020-04-07,58
2020-04-08,74
2020-04-09,155
2020-04-10,70
2020-04-11,158
2020-04-12,146
2020-04-13,192
2020-04-14,193
2020-04-15,174
2020-04-16,112
2020-04-17,137
2020-04-18,140
2020-04-19,119
2020-04-20,134
2020-04-21,73
2020-04-22,71
2020-04-23,98
2020-04-24,149
2020-04-25,51
2020-04-26,153
2020-04-27,122
2020-04-28,123
2020-04-29,191
2020-04-30,149
2020-05-01,124
2020-05-02,49
2020-05-03,121
2020-05-04,121
2020-05-05,170
2020-05-06,171
2020-05-07,93
2020-05-08,74
2020-05-09,101
2020-05-10,85
2020-05-11,169
2020-05-12,154
2020-05-13,147
2020-05-14,173
2020-05-15,119
2020-05-16,122
2020-05-17,151
2020-05-18,117
2020-05-19,161
2020-05-20,149
2020-05-21,93
2020-05-22,91
2020-05-23,110
2020-05-24,186
2020-05-25,161
2020-05-26,243
2020-05-27,256
2020-05-28,324
2020-05-29,584
2020-05-30,383
2020-05-31,274
2020-06-01,213
2020-06-02,163
2020-06-03,257
2020-06-04,265
2020-06-05,48
2020-06-06,290
2020-06-07,172
2020-06-08,255
2020-06-09,222
2020-06-10,240
2020-06-11,182
2020-06-12,290
2020-06-13,287
2020-06-14,262
2020-06-15,217
2020-06-16,191
2020-06-17,197
2020-06-18,192
2020-06-19,287
2020-06-20,301
2020-06-21,269
2020-06-22,181
2020-06-23,476
2020-06-24,247
2020-06-25,468
2020-06-26,391
2020-06-27,323
2020-06-28,366
2020-06-29,549
2020-06-30,347
2020-07-01,349
2020-07-02,123
2020-07-03,666
2020-07-04,635
2020-07-05,1174
2020-07-06,1014
2020-07-07,866
2020-07-08,1352
2020-07-09,625
2020-07-10,688
2020-07-11,779
2020-07-12,1127
2020-07-13,523
2020-07-14,346
2020-07-15,603
2020-07-16,1641
2020-07-17,968
2020-07-18,1582
2020-07-19,1470
2020-07-20,1155
2020-07-21,1332
2020-07-22,754
2020-07-23,1282
2020-07-24,1144
2020-07-25,990
2020-07-26,1138
2020-07-27,1032
2020-07-28,783
2020-07-29,793
2020-07-30,1862
2020-07-31,2258
2020-08-01,2603
2020-08-02,2656
2020-08-03,1532
2020-08-04,2957
2020-08-05,2359
2020-08-06,1994
2020-08-07,1802
2020-08-08,2685
2020-08-09,1650
2020-08-10,4150
2020-08-11,1451
2020-08-12,2519
2020-08-13,2387
2020-08-14,3779
2020-08-15,2413
2020-08-16,2016
2020-08-17,1890
2020-08-18,2907
2020-08-19,2995
2020-08-20,2520
2020-08-21,2662
2020-08-22,2778
2020-08-23,1001
2020-08-24,2469
2020-08-25,1565
2020-08-26,3080
2020-08-27,1559
2020-08-28,2070
2020-08-29,1979
2020-08-30,2179
2020-08-31,1873
2020-09-01,1800
2020-09-02,1137
2020-09-03,780
2020-09-04,1769
2020-09-05,1136
2020-09-06,1133
2020-09-07,506
2020-09-08,1415
2020-09-09,1467
2020-09-10,2132
2020-09-11,1797
2020-09-12,2611
2020-09-13,1471
2020-09-14,2492
2020-09-15,1733
2020-09-16,1603
2020-09-17,1252
2020-09-18,1322
2020-09-19,1455
