country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2/15/2020,7,4,-1,1,6,0
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2/16/2020,3,5,-2,-3,1,1
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2/17/2020,-1,0,-3,-2,8,1
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2/18/2020,0,1,-3,0,5,0
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2/19/2020,-3,-3,-4,-6,5,1
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2/20/2020,-2,-2,-5,-5,6,0
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2/21/2020,-2,-2,-8,-6,8,1
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2/22/2020,1,0,-1,-1,7,0
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2/23/2020,-3,0,0,-7,2,1
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2/24/2020,1,-1,6,-4,4,1
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2/25/2020,0,-2,11,-18,-43,11
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2/26/2020,-3,-1,0,-3,6,0
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2/27/2020,-2,-1,-4,-6,6,0
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2/28/2020,-1,1,-6,-6,8,0
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,2/29/2020,5,6,-1,0,9,0
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/1/2020,2,7,0,-5,5,1
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/2/2020,0,2,-2,-5,9,0
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/3/2020,1,2,-2,-4,7,0
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/4/2020,-1,2,-1,-7,6,1
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/5/2020,0,2,-3,-6,7,0
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/6/2020,-3,-1,-9,-8,8,1
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/7/2020,0,2,-1,-4,7,1
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/8/2020,-4,2,-2,-9,3,1
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/9/2020,-3,1,-1,-7,7,1
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/10/2020,-4,3,-5,-11,-4,3
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/11/2020,-8,5,-6,-17,-5,4
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/12/2020,-8,8,-8,-17,-6,5
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/13/2020,-12,9,-16,-17,-9,7
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/14/2020,-18,5,-20,-15,-6,6
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/15/2020,-40,-10,-29,-42,-10,11
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/16/2020,-34,-4,-18,-42,-31,15
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/17/2020,-57,-21,-30,-63,-55,24
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/18/2020,-66,-36,-36,-72,-62,28
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/19/2020,-69,-41,-39,-75,-65,30
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/20/2020,-73,-45,-47,-79,-66,33
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/21/2020,-75,-48,-52,-78,-57,27
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/22/2020,-79,-53,-56,-79,-50,24
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/23/2020,-75,-50,-45,-81,-69,33
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/24/2020,-76,-51,-47,-81,-71,33
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/25/2020,-76,-51,-46,-81,-72,34
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/26/2020,-76,-52,-47,-81,-72,34
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/27/2020,-77,-51,-52,-83,-72,37
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/28/2020,-78,-53,-56,-82,-62,30
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/29/2020,-81,-59,-59,-82,-54,26
PH,Philippines,,,,,,ChIJY96HXyFTQDIRV9opeu-QR3g,3/30/2020,-79,-59,-48,-84,-73,35
