date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,NO2
6/22/2020,-58,-26,-58,-67,-53,26,2.54839E-05
6/23/2020,-58,-25,-58,-66,-55,27,0.000104792
6/24/2020,-60,-26,-61,-69,-55,28,8.52393E-05
6/25/2020,-59,-25,-59,-67,-54,27,7.34013E-05
6/26/2020,-60,-25,-59,-68,-53,29,2.34189E-05
6/29/2020,-55,-22,-55,-65,-51,24,5.17785E-05
6/30/2020,-53,-17,-53,-66,-52,25,4.08042E-05
7/1/2020,-55,-19,-55,-68,-52,26,7.56827E-05
7/2/2020,-56,-23,-56,-69,-54,27,5.09417E-05
7/3/2020,-57,-25,-55,-69,-52,28,4.64407E-05
7/4/2020,-57,-27,-55,-68,-41,23,0.000110075
7/5/2020,-58,-24,-56,-69,-33,19,8.13107E-05
7/6/2020,-54,-24,-54,-67,-51,25,5.20219E-05
7/7/2020,-54,-21,-54,-69,-54,26,1.50161E-05
7/8/2020,-56,-24,-56,-70,-53,26,2.70996E-05
7/9/2020,-57,-27,-55,-70,-54,27,4.4446E-05
7/10/2020,-57,-25,-56,-69,-52,29,7.51027E-05
7/11/2020,-54,-17,-53,-67,-39,22,7.9666E-05
7/14/2020,-53,-20,-53,-67,-53,26,6.38454E-05
7/15/2020,-53,-19,-55,-69,-52,26,7.3935E-05
7/16/2020,-53,-19,-54,-68,-53,27,2.95292E-05
7/17/2020,-56,-21,-54,-69,-52,29,2.4447E-05
7/18/2020,-52,-18,-52,-67,-39,22,2.23272E-05
7/20/2020,-53,-21,-51,-68,-51,25,3.05154E-05
7/21/2020,-55,-24,-54,-69,-54,27,4.28301E-05
7/23/2020,-57,-26,-56,-70,-53,27,3.63922E-05
7/24/2020,-57,-25,-55,-71,-52,29,1.07284E-05
7/25/2020,-54,-23,-52,-67,-40,22,7.30571E-05
7/26/2020,-57,-25,-54,-68,-32,19,5.83735E-05
7/27/2020,-55,-25,-51,-69,-53,25,6.70045E-05
8/3/2020,-43,-2,-39,-60,-51,22,9.30578E-05
8/4/2020,-68,-35,-61,-82,-61,31,4.00355E-05
8/10/2020,-64,-32,-58,-82,-58,30,5.09135E-05
8/12/2020,-65,-32,-59,-82,-59,31,-1.18583E-05
8/13/2020,-66,-34,-60,-82,-60,31,4.50432E-05
8/14/2020,-66,-32,-60,-82,-58,33,3.81316E-05
8/17/2020,-63,-31,-57,-81,-57,29,6.70855E-05
8/18/2020,-65,-34,-60,-80,-58,30,3.87097E-05
8/22/2020,-57,-26,-53,-71,-42,23,5.63181E-05
8/23/2020,-59,-28,-56,-71,-34,19,3.31932E-05
8/24/2020,-54,-25,-49,-69,-52,24,3.30472E-05
8/25/2020,-55,-23,-52,-70,-54,26,2.05639E-05
8/26/2020,-56,-25,-52,-70,-53,26,2.558E-05
8/27/2020,-56,-26,-53,-70,-53,26,2.45978E-05
8/31/2020,-55,-27,-56,-76,-69,29,3.32276E-05
9/1/2020,-54,-22,-51,-67,-52,24,3.23393E-05
9/2/2020,-56,-25,-51,-69,-52,25,3.92392E-05
9/3/2020,-56,-27,-52,-69,-53,26,7.77645E-05
9/4/2020,-56,-27,-53,-71,-51,27,6.41455E-05
9/5/2020,-53,-22,-51,-68,-39,21,4.39418E-05
9/6/2020,-55,-25,-53,-68,-33,18,3.05307E-05
9/7/2020,-54,-28,-51,-69,-52,24,8.15057E-05
9/8/2020,-53,-22,-50,-68,-53,24,4.68378E-05
9/9/2020,-56,-27,-53,-70,-52,25,2.81648E-05
9/10/2020,-55,-27,-49,-69,-52,25,7.26444E-05
9/11/2020,-56,-27,-51,-70,-51,27,5.96673E-05
9/13/2020,-53,-23,-49,-67,-29,17,3.85862E-05
9/14/2020,-52,-24,-47,-69,-48,23,1.78918E-05
9/18/2020,-54,-24,-50,-70,-49,27,3.42259E-05
9/19/2020,-51,-21,-47,-65,-37,21,4.79862E-05
9/20/2020,-52,-21,-46,-65,-29,17,3.4068E-05
9/21/2020,-51,-24,-46,-69,-49,24,4.06982E-05
9/22/2020,-54,-23,-52,-68,-51,25,8.92463E-05
9/23/2020,-57,-28,-55,-69,-50,26,4.74492E-05
9/24/2020,-57,-26,-54,-70,-51,26,7.88622E-05
9/26/2020,-52,-18,-49,-65,-36,20,4.92013E-05
9/27/2020,-53,-20,-48,-65,-29,17,5.53854E-05
9/28/2020,-53,-23,-49,-68,-48,24,6.51271E-05
9/29/2020,-54,-23,-53,-67,-50,25,6.5808E-05
9/30/2020,-52,-16,-50,-67,-49,24,6.71932E-05
10/3/2020,-51,-18,-47,-64,-35,19,4.74847E-05
10/4/2020,-52,-17,-45,-64,-27,16,5.10268E-05
10/5/2020,-53,-21,-47,-67,-47,22,2.50056E-05
10/10/2020,-52,-20,-52,-64,-33,20,1.80744E-06
10/13/2020,-54,-20,-54,-66,-48,25,5.29942E-05
10/16/2020,-51,-14,-46,-65,-45,26,2.53349E-05
10/21/2020,-52,-18,-50,-68,-46,25,3.30946E-05
10/23/2020,-52,-19,-46,-67,-45,25,4.58971E-05
10/28/2020,-51,-20,-44,-65,-45,23,4.83035E-05
10/30/2020,-49,-14,-48,-65,-44,24,4.84581E-05
10/31/2020,-44,-4,-43,-60,-29,17,2.73401E-05
11/6/2020,-51,-21,-49,-68,-43,25,2.70994E-05
11/8/2020,-47,-16,-41,-63,-21,15,2.71465E-05
11/9/2020,-49,-20,-46,-66,-43,22,6.77733E-05
11/10/2020,-49,-17,-50,-64,-45,23,3.44493E-05
11/13/2020,-49,-14,-53,-70,-47,24,2.15984E-05
11/14/2020,-41,-7,-44,-61,-28,17,3.23981E-05
11/15/2020,-42,-7,-44,-60,-18,13,3.49924E-05
11/16/2020,-44,-11,-44,-63,-42,20,6.19726E-05
11/17/2020,-45,-12,-48,-63,-44,21,3.30204E-05
11/18/2020,-47,-14,-48,-64,-43,22,9.04139E-06
11/19/2020,-47,-14,-45,-63,-44,23,5.23756E-05
11/20/2020,-47,-14,-46,-65,-42,24,7.41346E-05
11/21/2020,-41,-8,-41,-59,-27,17,3.49833E-05
11/22/2020,-42,-10,-40,-60,-18,13,3.78024E-05
11/24/2020,-46,-14,-47,-62,-44,22,3.40677E-05
11/25/2020,-46,-13,-45,-63,-42,22,2.69621E-05
11/26/2020,-45,-12,-43,-62,-43,22,2.45528E-05
11/30/2020,-42,-10,-43,-68,-63,25,2.33153E-05
12/2/2020,-44,-10,-43,-61,-41,22,7.44544E-05
12/6/2020,-39,-6,-40,-56,-15,13,2.26118E-05
12/8/2020,-41,-10,-47,-66,-59,26,2.83591E-05
12/9/2020,-45,-13,-43,-62,-40,21,0.000102507
12/11/2020,-41,-5,-37,-62,-38,22,5.96694E-05
12/12/2020,-35,0,-34,-55,-22,15,5.74978E-05
12/13/2020,-35,0,-32,-53,-12,12,9.18461E-05
12/14/2020,-38,-4,-34,-60,-39,19,3.10227E-05
12/15/2020,-36,3,-35,-57,-40,19,2.62802E-05
12/16/2020,-36,5,-33,-57,-38,19,4.75407E-05
12/18/2020,-39,-1,-36,-59,-37,21,2.80158E-05
12/23/2020,-24,25,-28,-50,-40,16,3.78401E-05
12/24/2020,-38,22,-39,-65,-62,22,6.05725E-05
12/25/2020,-62,-39,-50,-79,-72,29,1.75613E-05
12/29/2020,-32,8,-39,-56,-45,20,8.46015E-05
12/30/2020,-34,20,-40,-64,-60,24,6.07575E-05
1/2/2021,-51,-23,-48,-68,-41,20,3.12738E-05
1/4/2021,-43,-8,-39,-62,-39,21,4.3528E-05
1/5/2021,-45,-10,-44,-61,-41,22,1.9134E-05
1/6/2021,-44,-8,-42,-63,-40,23,3.22504E-05
1/7/2021,-45,-11,-42,-62,-40,23,3.77108E-05
1/9/2021,-41,-6,-38,-57,-24,17,4.00665E-05
1/10/2021,-42,-7,-39,-57,-14,14,3.05133E-05
1/11/2021,-43,-10,-38,-61,-39,21,4.39285E-05
1/12/2021,-44,-11,-43,-61,-41,22,7.55596E-05
1/13/2021,-47,-14,-44,-63,-41,21,0.000198184
1/14/2021,-47,-16,-43,-64,-44,20,4.66181E-05
1/15/2021,-47,-15,-43,-66,-43,20,2.93071E-05
1/16/2021,-43,-11,-41,-61,-31,14,2.25938E-05
1/18/2021,-46,-16,-40,-63,-44,19,1.1477E-05
1/19/2021,-48,-18,-46,-64,-46,21,2.07613E-05
1/22/2021,-48,-17,-44,-66,-42,23,0.000105602
1/24/2021,-47,-16,-43,-61,-21,13,5.58389E-05
1/25/2021,-45,-14,-40,-62,-42,19,0.000109107
